"iata"
"ABR"
"ABI"
"VJI"
"ADT"
"ADK"
"AIK"
"AKI"
"CAK"
"AKC"
"AUK"
"ALM"
"ALS"
"ALB"
"ABY"
"ABQ"
"AEX"
"AXN"
"ABE"
"AIA"
"APN"
"ALN"
"AOO"
"AMA"
"TDW"
"AMW"
"AKP"
"MRI"
"ANC"
"AND"
"ANQ"
"ANI"
"QQK"
"ARB"
"ANP"
"ANB"
"ANV"
"AAF"
"APV"
"ATW"
"ADM"
"QQW"
"QQG"
"ATS"
"AVL"
"ASE"
"AST"
"AHN"
"ATO"
"MMI"
"QQR"
"PDK"
"FTY"
"ATL"
"ACY"
"BLM"
"ATK"
"MER"
"LEW"
"AUN"
"AUO"
"DNL"
"AGS"
"AUG"
"AUS"
"EDC"
"AVX"
"AVP"
"BKE"
"BFL"
"MTN"
"BWI"
"BGR"
"BRW"
"BTI"
"BVO"
"BOW"
"BVX"
"BTR"
"BTL"
"BAM"
"HSA"
"BIE"
"BFT"
"BPT"
"BFP"
"BKW"
"BED"
"BLV"
"BLI"
"BJI"
"BEH"
"XNA"
"BET"
"BTT"
"BVY"
"BIL"
"BHM"
"BIH"
"BIS"
"BCB"
"BID"
"BMI"
"BMG"
"TRI"
"BLH"
"BYH"
"BCT"
"BOI"
"BGD"
"BOS"
"WBU"
"BTF"
"BWG"
"BZN"
"BFD"
"BRD"
"BKG"
"PWT"
"KTS"
"BKX"
"BRO"
"BWD"
"BQK"
"SSI"
"BKC"
"BUF"
"IFP"
"QQF"
"BUR"
"QQY"
"BTV"
"QQU"
"BRL"
"MVW"
"BTP"
"BTM"
"CDW"
"CXL"
"CGE"
"QQC"
"CGI"
"WWD"
"MDH"
"CNM"
"CSN"
"QQV"
"CGZ"
"CPR"
"CDC"
"CID"
"CDR"
"CMI"
"JZI"
"CHS"
"CRW"
"CLT"
"CHO"
"CHA"
"CYF"
"CLS"
"QQP"
"VAK"
"CYS"
"AUZ"
"DPA"
"PWK"
"GYY"
"QQI"
"MDW"
"ORD"
"RFD"
"UGN"
"CIC"
"CNO"
"LUK"
"CVG"
"CKB"
"CKV"
"CEU"
"BKL"
"CGF"
"CLE"
"CVN"
"CTH"
"COD"
"COE"
"CBK"
"CDB"
"CGS"
"CLL"
"COS"
"CUB"
"MRC"
"CAE"
"COU"
"CMH"
"CSG"
"CLU"
"OLU"
"OSU"
"LCK"
"CPM"
"CCR"
"CON"
"USA"
"CXO"
"CDV"
"CRP"
"CEZ"
"CVO"
"CBF"
"CEC"
"CEW"
"CKN"
"CTY"
"CSV"
"DHT"
"ADS"
"RBD"
"DFW"
"DAL"
"DNN"
"DXR"
"DAN"
"DVN"
"GDV"
"DAY"
"MGY"
"DAB"
"SCC"
"DEC"
"DCU"
"DRT"
"QQD"
"APA"
"QQH"
"DEN"
"BJC"
"DSM"
"DSI"
"VPS"
"DET"
"DTL"
"DTW"
"YIP"
"DVL"
"DIK"
"DLG"
"DLN"
"DDC"
"DHN"
"DYL"
"PSK"
"DUJ"
"DBQ"
"DLH"
"DUC"
"DRO"
"DUA"
"EGE"
"EGV"
"HTO"
"ESN"
"ESD"
"EAU"
"EEK"
"ELD"
"EMT"
"ELP"
"ELI"
"ECG"
"EKX"
"EKI"
"EKO"
"ELN"
"ELM"
"ELY"
"EMK"
"WDG"
"ETS"
"ERI"
"QQE"
"ESC"
"EUG"
"ACV"
"EKA"
"EVV"
"EVM"
"PAE"
"FAI"
"FRM"
"INL"
"FAR"
"FBL"
"FRG"
"FMN"
"FYV"
"FAY"
"FFM"
"FDY"
"FLG"
"FNT"
"FLO"
"FLD"
"FNL"
"FOD"
"FHU"
"FXE"
"FLL"
"FME"
"FMY"
"FPR"
"FSM"
"FWA"
"AFW"
"FTW"
"FYU"
"FFT"
"FKL"
"FDK"
"FET"
"FAT"
"FRD"
"FUL"
"GAD"
"GVL"
"GLE"
"GNV"
"GAI"
"GAL"
"GUP"
"GLS"
"GAM"
"GCK"
"RIL"
"GLR"
"GGE"
"GED"
"GCC"
"GGW"
"GFL"
"GTR"
"GLV"
"GLD"
"GSH"
"GCN"
"GFK"
"GRI"
"GJT"
"GRM"
"GRR"
"GPZ"
"GBD"
"GTF"
"BGM"
"IKK"
"GXY"
"GRB"
"GCY"
"GSO"
"GDC"
"GMU"
"GVT"
"GLH"
"PGV"
"GSP"
"GRD"
"GWO"
"GUF"
"GPT"
"GUC"
"GST"
"GUY"
"HGR"
"SUN"
"HNS"
"HAF"
"HAO"
"HNM"
"BHB"
"CMX"
"HRL"
"HAR"
"MDT"
"HRO"
"HFD"
"HSI"
"HBG"
"PIB"
"HVR"
"HHR"
"HDN"
"HYS"
"HWD"
"HYR"
"HLN"
"HIB"
"HKY"
"ITO"
"HHH"
"HOB"
"HWO"
"HCR"
"HOM"
"HNL"
"HNH"
"HPB"
"HQM"
"HOT"
"HUM"
"DWH"
"EFD"
"IAH"
"IWS"
"HOU"
"HNB"
"HTS"
"HSV"
"HTV"
"HON"
"HUT"
"HYA"
"IDA"
"ILI"
"IMM"
"IPL"
"IML"
"IDP"
"TYQ"
"IND"
"QQQ"
"IYK"
"IOW"
"IMT"
"IWD"
"ISP"
"ITH"
"JXN"
"JAN"
"HKS"
"JAC"
"MKL"
"MJQ"
"OAJ"
"VQQ"
"CRG"
"JAX"
"JHW"
"JMS"
"JVL"
"JEF"
"JST"
"JOT"
"JBR"
"JLN"
"JNU"
"OGG"
"AZO"
"LUP"
"FCA"
"KLG"
"MKC"
"MCI"
"OJC"
"JCI"
"KUK"
"MKK"
"EAR"
"EEN"
"KLS"
"ENA"
"KNT"
"ENW"
"ERV"
"KTN"
"EYW"
"IAN"
"GRK"
"AKN"
"IGM"
